date,sector,station_id,spores_gram,mean_temp_1daysbefore,mean_humidity_1daysbefore,min_temp_1daysbefore,max_temp_1daysbefore,min_humidity_1daysbefore,max_humidity_1daysbefore,mean_temp_3daysbefore,mean_humidity_3daysbefore,min_temp_3daysbefore,max_temp_3daysbefore,min_humidity_3daysbefore,max_humidity_3daysbefore,mean_temp_7daysbefore,mean_humidity_7daysbefore,mean_temp_30daysbefore,mean_humidity_30daysbefore,mean_temp_90daysbefore,mean_humidity_90daysbefore,mean_temp_15daysbefore,mean_humidity_15daysbefore
2021-06-02,A10,NVX_R712_00137A10000178C5,5000,,,,,,,,,,,,,,,,,,,,
2021-07-23,A10,NVX_R712_00137A10000178C5,30000,,,,,,,,,,,,,,,,,,,,
2023-10-06,A10,NVX_R712_00137A10000178C5,80000,21.566791629867918,79.60795783965918,20.68666648864746,22.036666870117188,72.09750366210938,85.93499755859375,20.547692171736845,79.61824268740132,14.880000114440918,23.06333351135254,72.03333282470703,88.24333190917969,19.689519166949605,78.12880690893331,19.279562148409468,77.70797482029258,20.484752585132508,79.3708059090379,,
2023-10-26,A10,NVX_R712_00137A10000178C5,5000,,,,,,,,,,,,,16.470717235342125,76.19984462679463,,,20.315290776463623,79.16807594031434,,
2023-11-09,A10,NVX_R712_00137A10000178C5,0,,,,,,,,,,,,,,,,,19.864742837491573,78.47413542686665,,
2023-11-23,A10,NVX_R712_00137A10000178C5,10000,17.05934719241445,76.79848575592528,14.93000030517578,18.5,65.04333496,83.86666870117188,16.680148205909404,79.93700883472916,12.914999961853027,19.41666603088379,65.04333496,89.29499816894531,15.917137343455817,78.98558396376376,,,,,,
2022-03-03,B8,NVX_R712_00137A10000178C5,0,,,,,,,,,,,,,,,,,,,,
2022-04-13,B8,NVX_R712_00137A10000178C5,0,,,,,,,,,,,,,,,,,,,,
2022-05-13,B8,NVX_R712_00137A10000178C5,0,,,,,,,,,,,,,,,,,,,,
2022-08-08,B8,NVX_R712_00137A10000178C5,60000,,,,,,,,,,,,,,,,,,,,
2022-08-10,B8,NVX_R712_00137A10000178C5,300000,,,,,,,,,,,,,,,,,,,,
2022-07-01,B15,NVX_R712_00137A100001579A,0,,,,,,,,,,,,,,,,,,,,
2022-08-30,B15,NVX_R712_00137A100001579A,70000,22.033478280739004,84.18913070055282,18.729999542236328,25.350000381469727,76.06999969482422,89.73000336,21.731714997335434,86.7094323624198,18.729999542236328,25.350000381469727,73.23999786376953,99.01000213623048,21.480794442115002,85.987888107312,21.793227543813437,84.67824721883078,21.200946526754592,86.83301535666675,21.26947943321995,83.31910622094594
2022-09-06,B15,NVX_R712_00137A100001579A,70000,21.170416672992555,84.08333301531412,19.26000022888184,23.190000534057617,75.55000305175781,94.70999908447266,20.668333318477107,83.83875030961399,16.81999969482422,23.739999771118164,73.51000213623047,94.70999908447266,20.941511395518205,87.2927178666761,21.388254414703034,85.1884140771869,21.17117528218649,86.88576810371701,21.228520501156765,86.40500499904019
2022-09-13,B15,NVX_R712_00137A100001579A,440000,20.608263889916586,91.62854162821533,19.546667098999023,21.87666702270508,86.26667022705078,97.05666351,20.684884283267078,88.50548670017197,19.34000015258789,22.209999084472656,76.83999633789062,97.36333465576172,22.609703188840626,85.22371251234956,21.57624533485351,85.06034520610639,21.319259037283235,86.71467414578213,21.792798691416724,86.12027622358215
2022-09-27,B15,NVX_R712_00137A100001579A,25000,19.11638887723287,80.7470140457251,18.206666946411133,20.683332443237305,74.25499725341797,85.79000091552734,20.29407411147793,84.7418288124018,18.206666946411133,22.80666732788086,74.25499725341797,97.59333038330078,21.42877977236447,86.79264886029203,21.86479518021416,87.27824457234001,21.432731580203995,87.05034292439836,21.892175928758963,88.87725463437978
2022-10-03,B15,NVX_R712_00137A100001579A,400000,21.07486112916402,84.89583301577555,20.57666588,21.61000061035156,79.73332977294922,90.47000122070312,19.90574077764082,82.69287045776314,15.243332862854004,23.043333053588867,71.82333374023438,92.45999908447266,19.317896786176526,81.7076687810162,21.471872864826214,86.02730612747195,21.290828161394668,86.69698621843243,20.706490723306235,85.85255564566313
2022-10-11,B15,NVX_R712_00137A100001579A,385000,20.734166542689007,92.2515277857601,19.143333435058597,22.82666588,81.48332977294922,98.14666748046876,20.736157311354845,91.70134258285809,18.80666732788086,23.46333312988281,75.66333008,98.14666748046876,20.2471924395981,90.7130159650958,20.919659707286296,87.99809731902104,21.46333726174478,86.92643765539256,19.868013848201393,86.53389363811729
2022-10-25,B15,NVX_R712_00137A100001579A,10000,15.572152852996114,80.45812479600504,14.416666984558104,16.75666618347168,69.17333221435547,88.74333190917969,16.374189774258657,79.70148192496636,14.416666984558104,18.053333282470703,65.75,95.0500030517578,16.165892901912247,77.5983830177349,18.699374977760023,82.99578714360686,20.827896199477024,85.04671745381539,17.578745359866875,79.9287825159003
2022-10-31,B15,NVX_R712_00137A100001579A,25000,16.021111289660137,82.23187510158773,13.883333206176758,18.273332595825195,67.26667022705078,94.55666351,15.343888998026292,74.45256980253187,12.800000190734863,18.273332595825195,58.08666610717773,94.55666351,15.052529811856848,76.01173621127437,17.89300925733114,81.60244224332966,20.36611364332232,84.46455155691245,15.582111152026393,76.16501403379964
2022-11-08,B15,NVX_R712_00137A100001579A,30000,16.248472213674113,77.15833377820964,15.18000030517578,17.17333412,68.71333312988281,89.42666625976562,16.332685192368064,76.86009274565498,15.079999923706056,18.96666717529297,57.91666793823242,92.05999755859376,17.380942492240994,80.37641859054484,17.004854179760354,79.13485193776184,19.883912026149204,83.88099086946947,16.08655560545339,77.50217134684401
